bin_number,bin_length,network
677590,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
671178,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
585582,6,CARTE_BANCAIRE
585581,6,CARTE_BANCAIRE
585580,6,CARTE_BANCAIRE
585579,6,CARTE_BANCAIRE
585578,6,CARTE_BANCAIRE
585577,6,CARTE_BANCAIRE
585505,6,CARTE_BANCAIRE
585504,6,CARTE_BANCAIRE
585503,6,CARTE_BANCAIRE
585502,6,CARTE_BANCAIRE
585501,6,CARTE_BANCAIRE
585405,6,CARTE_BANCAIRE
585404,6,CARTE_BANCAIRE
585403,6,CARTE_BANCAIRE
585402,6,CARTE_BANCAIRE
581799,6,CARTE_BANCAIRE
581798,6,CARTE_BANCAIRE
581797,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581796,6,CARTE_BANCAIRE
581795,6,CARTE_BANCAIRE
581793,6,CARTE_BANCAIRE
581792,6,CARTE_BANCAIRE
581791,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581790,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581789,6,CARTE_BANCAIRE
581788,6,CARTE_BANCAIRE
581787,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581786,6,"MASTER, CARTE_BANCAIRE"
581785,6,CARTE_BANCAIRE
581784,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581783,6,CARTE_BANCAIRE
581782,6,CARTE_BANCAIRE
581781,6,CARTE_BANCAIRE
581780,6,CARTE_BANCAIRE
581779,6,CARTE_BANCAIRE
581778,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581777,6,CARTE_BANCAIRE
581776,6,CARTE_BANCAIRE
581775,6,CARTE_BANCAIRE
581774,6,CARTE_BANCAIRE
581773,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581772,6,CARTE_BANCAIRE
581769,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581766,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581763,6,CARTE_BANCAIRE
581762,6,"MASTER, CARTE_BANCAIRE"
581761,6,CARTE_BANCAIRE
581760,6,CARTE_BANCAIRE
581759,6,CARTE_BANCAIRE
581758,6,CARTE_BANCAIRE
581757,6,CARTE_BANCAIRE
581756,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581754,6,CARTE_BANCAIRE
581753,6,CARTE_BANCAIRE
581752,6,CARTE_BANCAIRE
581751,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581750,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581748,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581747,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581746,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581745,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581741,6,"MASTER, CARTE_BANCAIRE"
581740,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581739,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581738,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
