bin_number,bin_length,cartes_bancaires_network,active_merchant_network,bin_to_store_in_active_merchant
677590,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,677590
671178,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,671178
585582,6,CARTE_BANCAIRE,unknown,585582
585581,6,CARTE_BANCAIRE,unknown,585581
585580,6,CARTE_BANCAIRE,unknown,585580
585579,6,CARTE_BANCAIRE,unknown,585579
585578,6,CARTE_BANCAIRE,unknown,585578
585577,6,CARTE_BANCAIRE,unknown,585577
585505,6,CARTE_BANCAIRE,unknown,585505
585504,6,CARTE_BANCAIRE,unknown,585504
585503,6,CARTE_BANCAIRE,unknown,585503
585502,6,CARTE_BANCAIRE,unknown,585502
585501,6,CARTE_BANCAIRE,unknown,585501
585405,6,CARTE_BANCAIRE,unknown,585405
585404,6,CARTE_BANCAIRE,unknown,585404
585403,6,CARTE_BANCAIRE,unknown,585403
585402,6,CARTE_BANCAIRE,unknown,585402
581799,6,CARTE_BANCAIRE,maestro,581799
581798,6,CARTE_BANCAIRE,maestro,581798
581797,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581797
581796,6,CARTE_BANCAIRE,maestro,581796
581795,6,CARTE_BANCAIRE,maestro,581795
581793,6,CARTE_BANCAIRE,maestro,581793
581792,6,CARTE_BANCAIRE,maestro,581792
581791,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581791
581790,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581790
581789,6,CARTE_BANCAIRE,maestro,581789
581788,6,CARTE_BANCAIRE,maestro,581788
581787,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581787
581786,6,"MASTER, CARTE_BANCAIRE",maestro,581786
581785,6,CARTE_BANCAIRE,maestro,581785
581784,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581784
581783,6,CARTE_BANCAIRE,maestro,581783
581782,6,CARTE_BANCAIRE,maestro,581782
581781,6,CARTE_BANCAIRE,maestro,581781
581780,6,CARTE_BANCAIRE,maestro,581780
581779,6,CARTE_BANCAIRE,maestro,581779
581778,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581778
581777,6,CARTE_BANCAIRE,maestro,581777
581776,6,CARTE_BANCAIRE,maestro,581776
581775,6,CARTE_BANCAIRE,maestro,581775
581774,6,CARTE_BANCAIRE,maestro,581774
581773,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581773
581772,6,CARTE_BANCAIRE,maestro,581772
581769,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581769
581766,6,"MASTER, MAESTRO, CARTE_BANCAIRE",maestro,581766
581763,6,CARTE_BANCAIRE,maestro,581763
